zone,mc_el_maximum_mean,mc_el_maximum_std
FR,774.636283729495,385.05621562184496
AT,65.80564901093118,20.377734768851184
BE,248.7683344876433,319.8337540477973
CZ,22.48227447827186,102.79282002458078
DE,67.06461844553847,16.873899109809294
DK,66.34132404787451,18.88466165842517
ES,84.19088790258034,18.773666213215698
IT,82.25995960085764,18.381780982424555
PL,66.38395433299448,6.4976931431886875
SE,101.98673889848642,86.5201149414512
UK,107.92514970580814,5.038691983165221
CH,23.95520740668928,0.7006810893175642
NO,8.088560967786666,1.2940060169424188
NL,77.49952353178432,12.200972172149076
