zone,mc_el_mean_mean,mc_el_mean_std
FR,15.465309842023606,2.420816150003876
AT,19.928142601741637,3.8084564477802507
BE,15.578735750745658,4.320723331812997
CH,16.273031439952376,1.3010736589182965
CZ,12.530647390811037,0.7360622878304991
DE,20.008675584001438,3.5456431384991496
DK,17.91820319253995,2.9549885694812645
ES,29.792584911700207,5.29067838399444
IT,70.5351845875688,23.898750401760136
PL,39.006191305785755,5.75598499030822
SE,11.63661365990014,0.5245469706919418
UK,37.11515721681653,6.805415197762595
NO,7.792148908150564,0.6422574444986192
NL,38.53626882936083,12.441007979057824
