zone,mc_el_mean_mean,mc_el_mean_std
FR,15.032704430776345,1.332506862092843
AT,17.569671990030404,3.2459277675472924
BE,13.531170842985535,1.3847907427488266
CH,15.922731168995915,1.1891463980357981
CZ,12.33267820753278,1.6851515580416487
DE,15.721904837264148,3.9161354604487006
DK,16.879080263905603,2.02112140767923
ES,21.4713726064764,5.3424387700387115
IT,53.77747273626587,30.97549298302955
PL,35.79140644245954,6.342479643328514
SE,11.750726963970886,0.6529207274927856
UK,33.59540305105567,5.8835964499207325
NO,7.878236602893301,0.8177943132548726
NL,19.75307587642013,14.36703572581541
