zone,mc_el_mean_mean,mc_el_mean_std
FR,145.51940330351349,76.8657732298942
AT,35.23285953043362,9.39339347429764
BE,47.1188286714124,29.3951374886726
CZ,10.222297226823276,1.5000613042789956
DE,25.802650904574627,5.957092503004328
DK,33.065846527410066,6.6789984990601
ES,40.6825568587123,9.761871993196939
IT,63.288222206527784,24.680953189697945
PL,37.346314562414555,5.7474084021990395
SE,24.425546431885127,3.3248593394126305
UK,52.25979380216525,5.376152542922169
CH,15.50466502551297,1.6207422199347534
NO,7.897334169247245,0.9414172374521559
NL,42.267515543344935,10.220954626246519
