zone,mc_el_maximum_mean,mc_el_maximum_std
FR,765.0653973599657,389.6681902890078
AT,69.32625860807754,16.908186636343046
BE,247.8391525215677,318.0478922116956
CZ,65.43925128616924,224.21386012547455
DE,75.28900540488041,22.388591253831766
DK,72.2417624701259,21.767654741995973
ES,84.57137788258342,23.172540069583803
IT,82.70448232173186,17.54203711119994
NO,48.26607473913651,39.83937055662997
PL,186.27313509480234,299.57540457223473
SE,123.33850564733532,110.92822677195366
UK,107.89750809906839,5.116743458630267
CH,23.95520740668928,0.7006810893175642
NL,81.8250004457264,11.422896463885486
