zone,mc_el_maximum_mean,mc_el_maximum_std
FR,19.115089074397957,6.782923566338691
AT,22.797846889997253,2.7464614809982304e-12
BE,20.760503133608747,12.566443539861913
CH,22.584593229008693,2.7459290856400282
CZ,17.536798007495268,3.617481891971043
DE,39.685305963637944,18.49521492947584
DK,19.717030175813633,7.133562109717179
ES,56.72391755215659,22.359096668634496
IT,77.72417105749277,24.244617829695766
PL,65.22406710275988,7.688888048553217
SE,18.06152818443557,1.5327751821439237
UK,92.91898892132672,16.86637495759307
NO,8.091734676735339,1.3214718302387571
NL,66.39762687859819,20.460178704669055
