zone,mc_el_mean_mean,mc_el_mean_std
FR,177.92766403896078,87.20672368379103
AT,48.425691749933854,15.214865531680035
BE,60.741606659344455,39.41548191980569
CZ,16.41708889348589,30.605835812974565
DE,45.750404001273765,20.38773741328567
DK,44.11785114478626,14.559608674738982
ES,31.98029235969377,9.31627157374362
IT,65.88702995385525,24.00800032818253
NO,45.95271025696478,6.405165337960922
PL,306.11177795935464,60.76314518481562
SE,40.8109630758292,18.451918653493518
UK,51.76263679581262,25.44297835653027
CH,16.267564748987812,1.7992910202855756
NL,43.488604156155674,9.740854184955806
