id,country,tech,fuel,mc_el,g_max,eta,disp,d_max,storage_capacity
BE_wind onshore_renewable,BE,wind onshore,renewable,1.01445767,2389.642328,1,0,0,0
CH_ror_renewable,CH,ror,renewable,1.60627727,4336.409,1,0,0,0
CH_solar_renewable,CH,solar,renewable,0.993482983,2600.5,1,0,0,0
CH_wind onshore_renewable,CH,wind onshore,renewable,1.404347826,104.575,1,0,0,0
CZ_ror_renewable,CZ,ror,renewable,1.455450092,40.22638227,1,0,0,0
CZ_solar_renewable,CZ,solar,renewable,0.050325851,2402.33,1,0,0,0
CZ_wind onshore_renewable,CZ,wind onshore,renewable,1.020667483,600.2,1,0,0,0
DE_ror_renewable,DE,ror,renewable,1.546744234,2365.38,1,0,0,0
DE_solar_renewable,DE,solar,renewable,0.784214337,50449.03,1,0,0,0
DE_wind offshore_renewable,DE,wind offshore,renewable,5.5,7264.1,1,0,0,0
DE_wind onshore_renewable,DE,wind onshore,renewable,1.33219755,52378.45447,1,0,0,0
DK_solar_renewable,DK,solar,renewable,0.052136133,1115.44,1,0,0,0
DK_wind offshore_renewable,DK,wind offshore,renewable,5.115384615,2272.1,1,0,0,0
DK_wind onshore_renewable,DK,wind onshore,renewable,1.021432945,4346.2,1,0,0,0
ES_ror_renewable,ES,ror,renewable,1.883037355,36.65,1,0,0,0
ES_solar_renewable,ES,solar,renewable,0.010499638,8965.37,1,0,0,0
ES_wind onshore_renewable,ES,wind onshore,renewable,1.004745867,26101.6,1,0,0,0
IT_ror_renewable,IT,ror,renewable,1.61326918,5816.69,1,0,0,0
IT_solar_renewable,IT,solar,renewable,0.958001448,21896.44,1,0,0,0
IT_wind onshore_renewable,IT,wind onshore,renewable,1.388854868,11175.89958,1,0,0,0
NL_solar_renewable,NL,solar,renewable,0.97320782,4465.86,1,0,0,0
NL_wind offshore_renewable,NL,wind offshore,renewable,5.615384615,2374.2,1,0,0,0
NL_wind onshore_renewable,NL,wind onshore,renewable,1.395284752,5140.2,1,0,0,0
NO_solar_renewable,NO,solar,renewable,0.987328023,30.65,1,0,0,0
NO_wind onshore_renewable,NO,wind onshore,renewable,1.401255358,2851.3,1,0,0,0
PL_solar_renewable,PL,solar,renewable,0.989138306,477.85,1,0,0,0
PL_wind onshore_renewable,PL,wind onshore,renewable,1.402020821,7050.9,1,0,0,0
SE_ror_renewable,SE,ror,renewable,1.83125987,1995,1,0,0,0
SE_solar_renewable,SE,solar,renewable,0.01339609,742.43,1,0,0,0
SE_wind offshore_renewable,SE,wind offshore,renewable,5.730769231,190.5,1,0,0,0
SE_wind onshore_renewable,SE,wind onshore,renewable,1.005970606,6900.6,1,0,0,0
UK_ror_renewable,UK,ror,renewable,1.602337212,798.475,1,0,0,0
UK_solar_renewable,UK,solar,renewable,0.998189718,16984.26,1,0,0,0
UK_wind offshore_renewable,UK,wind offshore,renewable,5.884615385,8230.2,1,0,0,0
UK_wind onshore_renewable,UK,wind onshore,renewable,1.324678506,16087.3,1,0,0,0
FR_hydro_psp_water,FR,hydro_psp,water,10.32589286,5304,0.75,1,3480,405708.3987
FR_hydro_res_water,FR,hydro_res,water,7.182550529,8938.456688,1,1,33,10565543.67
AT_hydro_psp_water,AT,hydro_psp,water,10.45510204,3582.3,0.75,1,2255,1343532.026
AT_hydro_res_water,AT,hydro_res,water,7.134036198,5199.52,1,1,224,4554367.153
BE_hydro_psp_water,BE,hydro_psp,water,10.67857143,1308,0.75,1,1307,5710
BE_hydro_res_water,BE,hydro_res,water,7.131611316,9.082802548,1,1,0,11689.14707
CH_hydro_psp_water,CH,hydro_psp,water,10.58571429,4075.3,0.75,1,2444.4,2219240.119
CH_hydro_res_water,CH,hydro_res,water,7.190028238,9502.9,1,1,0,10275088.04
CZ_hydro_psp_water,CZ,hydro_psp,water,10.74047619,1172.509552,0.75,1,480,893527.785
CZ_hydro_res_water,CZ,hydro_res,water,7.121156212,708.4839023,1,1,0,911786.0359
DE_hydro_psp_water,DE,hydro_psp,water,10.49515306,7880.72,0.75,1,4982,1003059.948
DE_hydro_res_water,DE,hydro_res,water,7.210127101,189.5,1,1,0,243877.7413
ES_hydro_psp_water,ES,hydro_psp,water,10.48509317,7564.932,0.75,1,4833,6643636.666
ES_hydro_res_water,ES,hydro_res,water,7.191054842,8335.15,1,1,0,9656397.027
IT_hydro_psp_water,IT,hydro_psp,water,10.36590909,7962.6,0.75,1,6675,1467178.816
IT_hydro_res_water,IT,hydro_res,water,7.197059606,5615.601783,1,1,0,7227019.94
NO_hydro_psp_water,NO,hydro_psp,water,10.96428571,1344.3,0.75,1,0,4952921.7
NO_hydro_res_water,NO,hydro_res,water,7.506356593,29803.88,1,1,0,43839809.49
PL_hydro_psp_water,PL,hydro_psp,water,10.51571429,1705,0.75,1,956,15690
PL_hydro_res_water,PL,hydro_res,water,7.148160573,412.5063694,1,1,0,413076.8836
SE_hydro_psp_water,SE,hydro_psp,water,10.43571429,92,0.75,1,36,144189.4117
SE_hydro_res_water,SE,hydro_res,water,7.18156913,11624.95909,1,1,0,14960785.04
UK_hydro_psp_water,UK,hydro_psp,water,10.31964286,2905,0.75,1,2828,25430
UK_hydro_res_water,UK,hydro_res,water,7.176122386,520.5,1,1,0,669859.4423
