zone,mc_el_mean_mean,mc_el_mean_std
FR,16.23291823152104,3.2452889633091506
AT,19.665248296042574,3.9162660300973626
BE,14.56371061884082,3.4485193627080575
CH,16.59641386697872,1.456314915167288
CZ,12.392957192664204,0.526515904897183
DE,20.070539736515737,3.2775368099299005
DK,17.508688051111253,1.5526616412183525
ES,29.316033665809275,6.608813728386822
IT,69.7773315374553,25.26337824962614
PL,38.83613572821746,5.810468211983498
SE,11.66384202282743,0.5375725897798646
UK,37.30846412894335,8.426295903369201
NO,7.792346278533963,0.6429662630099158
NL,33.02959476383618,16.199617941745927
