zone,mc_el_maximum_mean,mc_el_maximum_std
FR,703.2727407951979,415.2693407672404
AT,68.93110581274931,17.35568671200155
BE,169.45306110979433,220.71744040753774
CZ,21.489946786976326,85.49148430906669
DE,74.03246504002416,21.969992125832004
DK,69.89469304558186,19.7491375344791
ES,83.25256920722383,24.392998356849724
IT,82.72815444423925,17.17442046588165
PL,153.1066580247471,255.5671034154925
SE,87.4030793309983,18.089330306350213
UK,107.96015104664379,4.816071610167821
CH,23.961168488000727,0.6525700875704254
NO,44.97463598632131,39.67759757727931
NL,80.62460403410257,15.012923111158342
