zone,mc_el_mean_mean,mc_el_mean_std
FR,32.53465489826416,24.22256438457633
AT,36.06197376720602,8.279928200740304
BE,25.684791152139187,9.137741493483345
CH,15.82855306374374,1.3047629300655277
CZ,11.86857050025117,1.4448484572283697
DE,25.271122619135962,6.030823951669104
DK,33.84278388197753,7.75685938976349
ES,36.16987832493367,9.975674284596046
IT,63.98386913904197,25.572729780717236
PL,90.67923455595482,71.16512405521951
SE,22.78948104234641,3.6217674864003335
UK,44.041069174410794,5.840066777330937
NO,7.839562626421585,0.7361423564272372
NL,46.51974049346727,12.12558236414853
