zone,mc_el_mean_mean,mc_el_mean_std
FR,14.574018756674553,1.7277185931775856
AT,16.998284645412724,2.798408173215892
BE,13.764482211013732,1.925559177041123
CH,15.797105667297894,1.1392161196445696
CZ,12.31835967217102,1.8297792973106277
DE,16.793128637720777,4.239913309956747
DK,15.853444803281134,2.798871615287885
ES,23.877563278913293,6.707748555813242
IT,57.30328746917701,28.664659670077537
PL,36.22462248755991,6.140443238089977
SE,11.730100145249388,0.6225232129368704
UK,36.227005935827506,6.5168552802108906
NO,7.8490584440362605,0.7902911118129009
NL,28.935487372816045,15.027709939954352
