from,to,constrained_maximum_mean
AT,CH,0.29360730593607304
AT,CZ,0.13470319634703196
AT,DE,0.011529680365296804
AT,IT,0.9460045662100457
BE,DE,0.5549086757990868
BE,FR,0.6452054794520548
BE,NL,0.5735159817351598
BE,UK,0.9957762557077625
CH,DE,0.31232876712328766
CH,FR,0.7084474885844749
CH,IT,0.8719178082191781
CZ,DE,0.07773972602739726
CZ,PL,0.9587899543378996
DE,DK,0.632648401826484
DE,FR,0.8156392694063926
DE,NL,0.7182648401826484
DE,NO,0.9664383561643836
DE,PL,0.9482876712328767
DE,SE,0.9676940639269407
DK,NL,0.9154109589041096
DK,NO,0.6734018264840183
DK,SE,0.5307077625570776
ES,FR,0.8259132420091324
FR,IT,0.886986301369863
FR,UK,0.9996575342465753
NL,NO,0.9054794520547945
NL,UK,0.9740867579908675
NO,SE,0.1797945205479452
PL,SE,0.9976027397260274
