zone,mc_el_mean_mean,mc_el_mean_std
FR,152.4660053843655,76.39336739683252
AT,34.43934195505264,8.814282112902175
BE,52.663710632309396,36.704125022077605
CZ,10.257277050542742,1.592235088527513
DE,25.58992439385815,5.939540686076542
DK,32.77630353758214,6.8618323172737625
ES,40.18464716208861,9.988288494499612
IT,64.04463681698321,24.869442500758208
PL,37.33708549164189,5.630968423360166
SE,24.628749550732113,3.657393112428999
UK,52.25638691613415,5.3714566372721935
CH,15.55548776725708,1.5130236042932579
NO,7.8424565193187625,0.7993212976207953
NL,43.802217414800005,10.275312265889198
