zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,589.4313733200213,7505.0,-1654.5739206069331,0.08146943653352057,0.22046288082703971
BE,6700.0,3065.352956738519,6200.0,-1454.5005049424335,0.4575153666773909,0.23459685563587637
CH,8960.0,2091.619476166116,11340.0,-3468.5675670184196,0.233439673679254,0.3058701558217301
CZ,3200.0,1135.1286275077314,3500.0,-485.176687713421,0.35472769609616606,0.13862191077526315
DE,26030.0,5123.2028017030325,21765.0,-7369.732238261789,0.1968191625702279,0.33860474331549684
DK,6820.0,1126.7422802170836,7545.0,-2589.1672163605435,0.16521147803769554,0.34316331562101304
ES,2800.0,1648.732012988218,2600.0,-830.9761827897432,0.5888328617815064,0.31960622414990125
FR,12310.0,2702.3919386257626,17450.0,-8926.653162556506,0.2195281834789409,0.5115560551608312
IT,9045.0,4148.484179642878,4455.0,-506.2792304852824,0.45864943942983727,0.1136429249125213
NL,9050.0,3288.6361211146204,8050.0,-2145.5641719477326,0.36338520675299674,0.26652971080096055
NO,7735.0,1648.816264288413,7435.0,-2988.585719979342,0.2131630593779461,0.4019617646239868
PL,1700.0,366.2887550572915,3900.0,-2265.917250462537,0.21546397356311264,0.5810044231955224
SE,7350.0,4469.997336557493,7190.0,-429.96610794030005,0.6081629029329922,0.05980057134079277
UK,4000.0,3775.741267052232,4000.0,-64.90542991442979,0.9439353167630581,0.016226357478607446
