zone,mc_el_mean_mean,mc_el_mean_std
FR,17.655437852220988,4.31825445508771
AT,19.81665847542403,3.8006098023750514
BE,14.151504372127954,2.332511702195993
CH,16.71475683859006,1.4601023226043706
CZ,12.546687125243732,0.7113966210425414
DE,20.11802101680335,2.99839722415601
DK,17.443414624840617,0.5376344712597596
ES,28.71070398934146,6.640791223494031
IT,67.18105399915872,26.959051091294143
PL,38.43516596975148,6.074744826861637
SE,11.748736779064883,0.6110552394395323
UK,35.24735353039913,7.478316510903788
NO,7.809779933361139,0.6900875444168867
NL,29.32519652955987,16.12411826896725
