from,to,constrained_maximum_mean
AT,CH,0.2684931506849315
AT,CZ,0.36940639269406395
AT,DE,0.010159817351598174
AT,IT,0.6190639269406393
BE,DE,0.8144977168949772
BE,FR,0.3208904109589041
BE,NL,0.44360730593607306
BE,UK,0.8656392694063927
CH,DE,0.48333333333333334
CH,FR,0.6167808219178083
CH,IT,0.3273972602739726
CZ,DE,0.09691780821917809
CZ,PL,0.7299086757990868
DE,DK,0.3527397260273973
DE,FR,0.8641552511415526
DE,NL,0.4394977168949772
DE,NO,0.759703196347032
DE,PL,0.7873287671232877
DE,SE,0.6560502283105023
DK,NL,0.595662100456621
DK,NO,0.510958904109589
DK,SE,0.2785388127853881
ES,FR,0.8300228310502283
FR,IT,0.6276255707762557
FR,UK,0.8388127853881279
NL,NO,0.8853881278538813
NL,UK,0.9618721461187215
NO,SE,0.33949771689497715
PL,SE,0.7915525114155251
