zone,mc_el_maximum_mean,mc_el_maximum_std
FR,19.305766625723027,7.9883942004964466
AT,22.79784688999726,2.7393574439236806e-12
BE,21.301776997490737,13.734773694166948
CH,22.55757665249955,2.778339088892727
CZ,17.487491644226665,3.66389803044247
DE,41.88156715116499,18.540874102291998
DK,19.816655712145685,7.595064247584691
ES,57.82291001711493,22.53933999811971
IT,77.88947009890607,24.210953863708912
PL,65.17881066961837,7.6932209539709495
SE,18.05250927882611,1.545751360761885
UK,92.66850733776168,18.62486293045306
NO,8.085842540885395,1.291591342151941
NL,66.71821334408867,20.30551500360436
