zone,mc_el_maximum_mean,mc_el_maximum_std
FR,60.834944231894944,46.570704433413475
AT,68.38917802467282,18.04883265161226
BE,68.11932217489922,49.868013443077686
CH,23.050869976087096,2.502922966949493
CZ,17.716630739121317,19.435588253200716
DE,69.79665519571245,18.84671615923536
DK,67.47437713665497,19.944499964740704
ES,80.52157136293955,23.1249415030106
IT,79.64834666964234,22.53996240998697
PL,72.02910848365978,43.05259630786592
SE,69.68962575885163,11.289119845274024
UK,104.90024758057686,10.593673960033158
NO,8.112435493381392,1.314780832501033
NL,76.93390694085441,18.27813517669793
