zone,mc_el_mean_mean,mc_el_mean_std
FR,23.917163111532385,10.64888272499903
AT,36.10640564058315,8.85775880477938
BE,25.446900883081334,11.178687951779713
CH,15.903890897087033,1.3647699956166752
CZ,13.452147760181449,16.555114070155373
DE,25.969974257204328,6.351389664444182
DK,34.42610594935089,8.058873258085843
ES,36.674786560346234,9.799274419641662
IT,63.7567217095666,26.241692812714536
PL,40.7140809618202,13.547736230692614
SE,27.952881378701722,5.788284135193312
UK,44.51501805212505,5.511459466928619
NO,7.80946098095303,0.6825312381540805
NL,48.38108490014287,9.657803550200933
