zone,mc_el_maximum_mean,mc_el_maximum_std
FR,22.690499043325463,13.445100507778136
AT,22.79784688999706,2.9382692604311067e-12
BE,27.49410272947215,23.410037296805392
CH,23.646251306333177,1.4213788091521447
CZ,18.304239852542832,0.5902873958105784
DE,52.809267735857176,14.706050768986257
DK,24.203695021910995,8.846562557890602
ES,69.24640327059264,14.1794177888845
IT,82.32179082029067,18.258152981798982
PL,68.50536616021797,3.4356715950294445
SE,18.44025901000419,4.1924414424170426e-12
UK,92.23573436616581,20.815635093260475
NO,8.078335964066463,1.2848704909902495
NL,66.99206107445117,21.90003827243067
