zone,mc_el_maximum_mean,mc_el_maximum_std
FR,715.6936653391182,411.11238007259357
AT,65.52434679547393,20.60474682152012
BE,178.56159481579996,235.53130356735718
CZ,13.660360106178913,3.738074366653841
DE,67.11790879064857,16.84164065349212
DK,66.4050107605923,18.664906317310052
ES,84.07305651429657,18.459828635912555
IT,82.22641274316256,18.212849597818135
PL,66.41155074614885,6.55780106604768
SE,70.07884887494113,11.725801465423777
UK,107.9463302432739,4.857162520910697
CH,23.9407007872676,0.8056639683211259
NO,8.17326756522392,1.6028150443348301
NL,74.87106587187317,14.915044322029777
