zone,mc_el_mean_mean,mc_el_mean_std
FR,14.592309834060181,2.104813611205227
AT,16.35572909107023,2.8735881147111253
BE,13.424033687973967,2.4089074729211863
CH,15.462383313157991,1.0582725671522997
CZ,11.753886760222867,1.4651825014180164
DE,17.20503471379464,4.477806264182469
DK,15.659814351329047,2.8245466149958194
ES,25.157042141334472,7.148855539986771
IT,61.066793483067585,28.378829161574835
PL,36.29975148512307,6.145079409226424
SE,11.707729432083715,0.6251794241014532
UK,37.419291490697,8.4352095772908
NO,7.806229563028362,0.669440065688796
NL,30.914152378378574,16.188547650457995
