from,to,constrained_maximum_mean
AT,CH,0.5202054794520548
AT,CZ,0.3490867579908676
AT,DE,0.10376712328767124
AT,IT,0.997716894977169
BE,DE,0.6791095890410959
BE,FR,0.942351598173516
BE,NL,0.39360730593607307
BE,UK,0.9794520547945206
CH,DE,0.3934931506849315
CH,FR,0.9299086757990868
CH,IT,0.9958904109589041
CZ,DE,0.041666666666666664
CZ,PL,0.9425799086757991
DE,DK,0.15422374429223745
DE,FR,0.9308219178082192
DE,NL,0.9350456621004566
DE,NO,0.6404109589041096
DE,PL,0.9542237442922374
DE,SE,0.7767123287671233
DK,NL,0.9512557077625571
DK,NO,0.5375570776255708
DK,SE,0.4238584474885845
ES,FR,0.9190639269406393
FR,IT,0.9949771689497717
FR,UK,0.9990867579908675
NL,NO,0.9441780821917808
NL,UK,0.9694063926940639
NO,SE,0.23207762557077627
PL,SE,0.984703196347032
