zone,mc_el_mean_mean,mc_el_mean_std
FR,161.1107701208953,75.5714934600014
AT,36.08830818346422,9.313182930725647
BE,58.82827383911705,43.96411467583294
CZ,9.474024651491781,0.6242813355225496
DE,26.072860570226506,5.815365400226106
DK,33.579642451762716,6.828482395525051
ES,42.007120335001076,10.167540531781379
IT,66.80505290041496,24.430128631296878
PL,37.31452345806195,5.6277683849124
SE,24.947275686854937,4.571669999341959
UK,52.31410058287717,5.285497787978858
CH,15.281618656750515,1.4636619903825423
NO,7.808092807434265,0.6729774563287051
NL,44.435999357032955,10.165228244234614
