zone,mc_el_maximum_mean,mc_el_maximum_std
FR,20.256147672531288,10.114214714956114
AT,22.79784688999727,2.7287018179946006e-12
BE,19.694803127786614,11.0869133344054
CH,22.485455210407064,2.877591364474426
CZ,17.147039613971877,3.1222465558672665
DE,43.274512780753504,18.310775848174885
DK,19.254761042518638,6.03662298054469
ES,57.593266971743084,22.542924446037393
IT,76.41299324352488,26.406800557247024
PL,64.83049096747183,8.0944089908034
SE,18.38950069706935,0.6078720562812281
UK,89.88387522515424,23.35665906221112
NO,8.094794192098078,1.2995052647091425
NL,52.76280580124403,30.077860414951257
