zone,mc_el_maximum_mean,mc_el_maximum_std
FR,666.8655681581846,425.0531054415458
AT,65.49177013090551,20.63061168708423
BE,142.91661514711953,175.007239353825
CZ,13.638027025959408,3.6089605564581246
DE,67.07072624156721,17.166689327706415
DK,66.78094492189312,18.25341059937514
ES,84.2687119723797,18.65797762633717
IT,81.92697576663058,18.725837718924577
PL,66.35268249511459,6.758279464452215
SE,68.59630934861616,8.832603210281988
UK,107.95624651339035,4.94922848080943
CH,23.951327473247325,0.7302679538802415
NO,8.263958014107565,1.8256266162554418
NL,72.99028042362828,15.79661300829832
