from,to,constrained_maximum_mean
AT,CH,0.5680365296803653
AT,CZ,0.24794520547945206
AT,DE,0.10947488584474886
AT,IT,0.9447488584474886
BE,DE,0.7103881278538813
BE,FR,0.6616438356164384
BE,NL,0.6801369863013699
BE,UK,0.9866438356164383
CH,DE,0.7810502283105023
CH,FR,0.7535388127853881
CH,IT,0.8997716894977169
CZ,DE,0.20753424657534247
CZ,PL,0.9610730593607306
DE,DK,0.5537671232876712
DE,FR,0.8658675799086758
DE,NL,0.9695205479452055
DE,NO,0.972716894977169
DE,PL,0.9681506849315068
DE,SE,0.9519406392694064
DK,NL,0.9815068493150685
DK,NO,0.8526255707762557
DK,SE,0.7643835616438356
ES,FR,0.8528538812785388
FR,IT,0.9081050228310502
FR,UK,0.9997716894977169
NL,NO,0.9488584474885845
NL,UK,0.9763698630136987
NO,SE,0.12157534246575342
PL,SE,0.9985159817351598
