zone,mc_el_maximum_mean,mc_el_maximum_std
FR,81.72798064134611,121.38551955824141
AT,68.92531807383155,17.362329747953186
BE,69.06088694246483,32.88067351065186
CH,23.13716644932158,2.4188770449520973
CZ,17.968132041469197,2.972340837621884
DE,68.54605141161275,18.76842779971394
DK,66.57237491236413,19.940446034974357
ES,79.39732995630332,23.612670391625706
IT,81.30712682242621,19.45801212237165
PL,315.3428782093391,406.6734133307939
SE,65.99848939947499,14.350852784992862
UK,103.69808383398146,11.793744391966037
NO,8.763986701722999,3.034937866114668
NL,73.5101557443034,22.36815386850426
