zone,mc_el_maximum_mean,mc_el_maximum_std
FR,22.40443798613028,12.898228356665104
AT,22.797846889997054,2.9453733516983827e-12
BE,26.863910325025916,22.354767040751906
CH,23.740399686643727,1.227625502653014
CZ,18.461768160226363,0.6308851811554175
DE,52.59745695977093,14.669494279430582
DK,24.093405491639793,8.380392662489042
ES,68.06655165937528,16.47835429663041
IT,82.10425458732126,18.626301060185913
PL,68.507131631928,3.4321089789510957
SE,18.48370385036481,0.25667638189801245
UK,92.90230894872063,17.764587315826706
NO,8.077941223299678,1.2845148889972275
NL,66.91803311348967,21.56332579689662
