zone,mc_el_mean_mean,mc_el_mean_std
FR,14.598168650062217,2.097993874565413
AT,16.369980743359225,2.8871156688265818
BE,13.390379267223347,2.412653073812929
CH,15.464450543312292,1.0517844870073787
CZ,11.752694044060352,1.4654224280872497
DE,17.187843827974426,4.4815052408423295
DK,15.659814351329047,2.8245466149958194
ES,25.12688823092116,7.14004034509235
IT,61.15478050365102,28.545319988673455
PL,36.241352837265744,6.178693350592889
SE,11.712752959907451,0.6291047744075231
UK,37.35942152019761,8.44927148178025
NO,7.808890048045349,0.6747892013443937
NL,30.911643758173856,16.19084364921816
