zone,mc_el_maximum_mean,mc_el_maximum_std
FR,25.543385950622316,16.8589622410344
AT,22.797846889997057,2.9418217483169628e-12
BE,22.897225847365153,17.23435816728275
CH,23.646251306333173,1.421378809152151
CZ,18.316602698392032,0.47990179801596616
DE,53.273479616602785,13.237392883792428
DK,22.984514807109854,4.082895956928783
ES,65.52069488162913,20.23433439431256
IT,80.70334696147837,20.977525665166617
PL,68.31469521553299,3.795998914635407
SE,18.44025901000419,4.1924414424170426e-12
UK,89.70144505949784,23.324762811770935
NO,8.077941223299701,1.2845148889972062
NL,56.23953640412173,29.40542853146569
