zone,mc_el_mean_mean,mc_el_mean_std
FR,167.7195317187924,72.8261323184028
AT,37.177200003806426,9.317717126650852
BE,69.2427998514704,54.42315713531123
CZ,20.24483357450182,44.92070848908457
DE,25.128789023134857,7.135026336138275
DK,36.22959991831699,9.203965540293465
ES,40.32750664125514,11.308839325297559
IT,67.24622245212453,24.323064860026136
NO,26.846910074073968,19.216451944316166
PL,60.218373870502106,55.171983831328966
SE,44.04405033607222,17.988522563204395
UK,52.23232377799943,5.478343609982212
CH,15.834755592436661,1.7962086319865276
NL,50.135690420298566,8.349594903143503
