zone,mc_el_maximum_mean,mc_el_maximum_std
FR,19.593462330903524,8.80060061738314
AT,22.79784688999727,2.7287016097318465e-12
BE,21.303687269796104,15.242172445785519
CH,22.523617755535984,2.820115631031242
CZ,16.93834092230299,3.4057577364303806
DE,43.63055973817621,18.464265997888653
DK,19.948835303708886,8.17497347644609
ES,59.1811470202845,22.715347842813596
IT,78.74737619694385,23.6978975496907
PL,65.2525681887752,7.624038878505882
SE,17.97003915836837,1.675251426026099
UK,92.3254301237983,20.836933023455522
NO,8.084655880241256,1.2905341501248293
NL,66.85647345874318,20.452614997037827
