zone,mc_el_mean_mean,mc_el_mean_std
FR,31.21994790102009,20.99997514060101
AT,34.582214176502355,8.22188371683088
BE,24.849820022395086,8.624209404155858
CH,16.05403616039799,1.328873569967372
CZ,12.388329721308143,1.7672462782546603
DE,24.973151592721166,5.783220870334563
DK,32.90811981032632,7.362071327009278
ES,35.06628540302483,9.580400119022384
IT,60.437562656432846,25.189302167554278
PL,85.75914172551929,65.78987204136227
SE,22.716645768557328,3.571173890822971
UK,43.974413793127454,5.895436838656199
NO,7.96332941536985,1.1289168066662292
NL,45.57955853531522,12.150607539616402
