,CH,IT,DE,ES,AT,SE,UK,FR,CZ,PL,BE,NO
0,1602.7144256563201,1314.8039239098466,354.49069174381196,703.8833323650008,616.3925998264815,2554.0266482197517,419.5418626505567,1830.9113137878774,59.13324928961297,193.57576380527445,47.89331308199563,12538.805914320983
1,1601.7665577790665,1294.0830208206075,355.4915802740354,703.8903354929691,614.4836530341186,2555.1633429045964,419.4382333840997,1830.9721915988669,59.942114287361456,194.03135841279834,47.69579435159389,12505.173560306775
2,1602.7993546480227,1298.395060501109,355.9108303480953,704.1657941784489,613.4224101785283,2552.6250743755395,419.3615572640063,1832.2812529721473,60.37001693034052,194.3034264347044,47.24401955965142,12430.080073477355
3,1604.0031028035876,1292.1459666902927,356.39075905174406,704.6060981387358,612.4281521435746,2548.9770805092153,419.27052068698777,1834.7900525459943,60.36510454440581,194.75525930247534,47.51248142427702,12368.342346759826
4,1604.740988504321,1297.1449620714934,357.15320169714755,704.3395173667229,611.3049522528294,2542.058368066541,419.17753803036567,1836.3069698277661,60.197875081699955,195.07755763704046,47.80613410940377,12367.124169385239
5,1606.1062081092132,1292.5850380042855,360.02475855682223,704.7543560249991,610.3062280375574,2534.479788831211,419.09610068954134,1838.4016045886146,60.490397478890266,195.6921029282798,48.01604669110378,12352.543273371763
6,1607.1385553251314,1289.886249138881,362.77163460461776,704.9013441424685,609.3140904640767,2527.2072412394677,419.0196540338986,1838.808417102119,60.87260066996634,197.10538181896635,47.978156212597376,12295.068585899604
7,1608.1999348598135,1270.3051961470528,368.4647062294212,705.1418814357081,608.374042087472,2520.707093206431,419.00730686541897,1839.087789962496,61.64808361350438,200.59301647646436,48.085869591432086,12278.905433024636
8,1607.423206879779,1254.2077558535839,373.38954701111817,705.1561294548994,607.3689896492095,2515.320238781204,418.969345510673,1838.0350526919729,62.691317668249404,210.8316012893166,48.02366394867363,12242.798018064885
9,1607.6983950787956,1243.275695747841,382.55199262965584,705.0773122305977,607.0471222629304,2510.906544133825,418.9111632327804,1836.9431137514682,64.68821530354141,220.10965720225278,48.04082077613616,12179.716531450655
10,1609.6878028456836,1235.7231167833245,395.2235224719881,705.0141694249282,607.4726565125748,2507.2717626310173,418.8717135426776,1836.136938853862,67.17851972338407,226.49924674835188,48.08287840916597,12107.937947055187
11,1614.03938206744,1229.0838303709336,410.6085272375041,705.80500722495,609.1870392677437,2504.277122925503,418.817692792433,1838.4834544455161,70.03718034926045,234.06975364117642,48.13393702042489,12048.120518310514
12,1624.4665884287044,1223.2573186980712,424.7261315610607,710.6711927431168,612.8204026482797,2501.8623271818815,418.7669042513255,1853.5605286620537,72.55864748710721,241.76816243605452,48.38248064488323,11994.301409139945
13,1635.33775779742,1217.4392987999386,435.59225118049335,716.0122604812798,616.9059144804262,2499.735712447948,418.70688241734007,1869.9051437279202,74.2788347923259,249.5309500496712,48.786362700082876,11941.752189659062
14,1643.2371464217367,1211.1973515523805,444.0369719110486,718.9572400378204,620.2478654873514,2497.4852789359616,418.63646536312604,1880.817685812347,75.71972542107419,258.36800360955334,49.4191515109359,11891.805767711665
15,1646.3140646178665,1204.6525182427167,450.14738606674894,719.508034905362,620.9030261230041,2495.4884087512687,418.56880043459125,1884.80048876774,76.69748846374343,266.6182248831043,50.078626239507976,11845.397290134111
