,CH,IT,DE,ES,AT,SE,UK,FR,CZ,PL,BE,NO
0,1009.8347024134284,673.5816364678101,28.477850508077665,428.4134604648811,548.2451677859032,2544.557666441275,130.42295532633108,1161.3024404098678,41.837958767965006,78.05990291082247,0.9771647329699842,12326.768293785355
1,1008.8698186401053,667.2164221764987,28.396544940848145,428.4164696913532,546.5204072676033,2545.72050349806,130.38772119959674,1161.646496447243,42.679642146994155,78.10412117650348,0.9732628003767368,12292.887792675816
2,1009.1794236946259,667.4581859361276,28.398400842530403,428.5661836307446,545.538642507857,2543.339279277297,130.35511144161086,1162.816563752936,43.08694533975552,78.12322080619342,0.963975355729597,12218.70857741961
3,1009.6645292371938,666.1020610343769,28.38198790995333,428.8173782839541,544.6259049364394,2539.910681736995,130.32499300488564,1164.0625754068183,43.08713388431252,78.19845300022102,0.9695008761121279,12157.95248785859
4,1009.8335087228226,666.7528980488219,28.346092735052594,428.61130817768645,543.5938650187267,2533.1899367017313,130.2965587639077,1164.8734742556287,42.950270059043994,78.31570506556184,0.9755811614048856,12156.511485559202
5,1010.3414708989338,664.7289034783395,28.325313470536045,428.8571165507076,542.6675064103591,2525.7533025564585,130.2740419940124,1166.018261238958,43.27216037780798,78.60436758939338,0.9799343153156076,12142.122987990419
6,1010.6338135957121,663.6792632605874,28.290559379824195,428.9513379661451,541.7415014696651,2518.5838151219996,130.25513695607867,1166.3340254709,43.689318130659515,79.22579187911907,0.9791548264894101,12085.832498712698
7,1010.982937356427,660.0615861545227,28.328025618249526,429.1530452041099,540.8652375372482,2512.1777639529764,130.26289916839067,1166.3436478955525,44.51607644512734,80.18712031427555,0.9813608933135908,12070.057291494551
8,1010.3604787659808,656.8915568486882,28.340663693343547,429.21573296384395,539.9498445433628,2506.864034244987,130.258486362761,1165.6603512005888,45.59566848523596,82.19755242047843,0.9800776784605468,12034.768704381775
9,1010.3362076909991,654.7096115500258,28.397119860470738,429.2155843037547,539.6278485577528,2502.510447648769,130.24429211409705,1164.9366812044523,47.546466435666645,85.1556764977489,0.9804205930785412,11973.053805088133
10,1011.2802773786874,653.198742780677,28.50913574039755,429.2157962515909,539.9466004289072,2498.9234376850836,130.22864696224923,1164.350155972864,49.92977856782255,88.46129656449567,0.9812437111199659,11902.79768018034
11,1013.6632512111265,651.8853217442128,28.69748463580958,429.72337059149316,541.3838600457815,2495.9609172168216,130.21127631564474,1166.0325983233067,52.63112848760582,92.17577322634806,0.9822744130946124,11844.25141867857
12,1019.6438973902541,650.6980989603451,28.991454280705568,432.70283821727867,544.4879318204398,2493.5660360226993,130.19607875864511,1176.6087765226894,54.91057267118035,96.23508717740458,0.9873775007075684,11791.581642026658
13,1025.925569935012,649.4324352524649,29.324947170722947,435.9276237297067,548.0092659202179,2491.4539203925715,130.1799302954219,1187.8516584623053,56.4044261597411,100.61479414936997,0.9957144648082048,11740.14089978213
14,1030.4884027691685,647.8707114590944,29.573187168248317,437.5965550852878,550.893040131349,2489.2168658997293,130.16515696230886,1195.0005456208337,57.63857389487527,105.54431871575355,1.0088079711899642,11691.227297687563
15,1032.1123056602457,646.1229281241281,29.69546195069113,437.83820472252944,551.4235579717966,2487.2381916122495,130.14918955782997,1197.2565044448293,58.474119105089166,110.17835251663236,1.02239264276722,11645.769490124549
16,1032.5316885838738,644.3850380449989,29.846239002808503,437.3107264577171,552.0694487311695,2485.704688829497,130.131037757066,1195.3042261167984,59.121600756962316,113.65321663728963,1.0352149900070586,11604.263332726994
17,1033.1891077615296,642.8319255027275,30.037297540283692,436.87265466071796,553.0977853944084,2484.513353182834,130.11581729887115,1193.4906482083315,59.471438872175426,116.00247163605596,1.0382038074536664,11566.89171559317
18,1034.1975972711118,641.4398124996865,30.257448683118383,436.51314394390585,554.4959049238489,2483.4608389462455,130.10012969615488,1192.0960943512773,59.71362747785196,117.6400225670598,1.0366158201602338,11532.933325623371
19,1037.0378568738915,640.18793741955,30.626342144391785,436.2467187838856,557.2544250499285,2482.416189251682,130.0833530825697,1191.2068434174562,60.63296938296153,119.3285089182301,1.038039811417036,11503.076851058839
20,1040.1073579334484,639.0406680791459,30.98612653598729,435.9705965312593,560.2172824012964,2481.380448393942,130.06857885756966,1190.0330469379483,61.50299098735968,119.88582203116486,1.0402161335563744,11475.590021689268
21,1043.7447602190832,637.9879658520842,31.333227242882828,435.77659337461137,563.4963771186284,2480.357293680224,130.05384038551017,1189.2050888235162,61.723073140701096,120.22527940217739,1.0416256509670159,11451.033826551928
22,1047.2909293052528,637.0301167905869,31.6451736531029,435.61664852183935,566.6583970104657,2479.383694855992,130.0368210423861,1188.4506836369223,61.14517233070194,120.72511814724753,1.0414620668472099,11428.528464705614
23,1049.9528090815495,636.190805930489,31.780013337087055,435.5419699943932,568.3997308409066,2478.4689198594324,130.0221608519715,1188.0968306428276,60.0528708272946,121.08757599632905,1.0378303361305188,11408.127188682201
24,1051.7971392885606,635.4705074140894,31.805122141169008,435.4777937061405,569.2267289668116,2477.6022034749662,130.00800534374915,1187.8432271660195,58.89220295473328,121.11545050930913,1.0336954715933817,11389.37757071432
25,1053.2025387182625,634.8717175437179,31.7649305901218,435.46017261811704,569.7606667121008,2476.7581276188453,129.99323799127436,1187.787367208597,57.787243581946434,120.54682711628692,1.0297602900438192,11372.263931134908
26,1054.3706038321172,634.2810241019324,31.65858662205531,435.4559769214388,570.7420429553778,2475.9698170585234,129.97854456175338,1187.7932067354386,56.74413720023298,119.65157447570934,1.0261575002816519,11356.413123291262
