from,to,constrained_maximum_mean
AT,CH,0.9398401826484019
AT,CZ,0.29726027397260274
AT,DE,0.05958904109589041
AT,IT,0.9584474885844749
BE,DE,0.9813926940639269
BE,FR,0.5628995433789954
BE,NL,0.8762557077625571
BE,UK,0.8570776255707763
CH,DE,0.9242009132420091
CH,FR,0.9415525114155251
CH,IT,0.7234018264840183
CZ,DE,0.33641552511415523
CZ,PL,0.9762557077625571
DE,DK,0.27009132420091325
DE,FR,0.965296803652968
DE,NL,0.8762557077625571
DE,NO,0.8462328767123287
DE,PL,0.9768264840182649
DE,SE,0.990296803652968
DK,NL,0.7735159817351598
DK,NO,0.3841324200913242
DK,SE,0.9448630136986301
ES,FR,0.9654109589041096
FR,IT,0.9325342465753425
FR,UK,0.979337899543379
NL,NO,0.7133561643835616
NL,UK,0.998972602739726
NO,SE,0.8239726027397261
PL,SE,0.9942922374429224
