zone,mc_el_mean_mean,mc_el_mean_std
FR,154.72736447138828,75.09177367062924
AT,34.74773009788212,9.027544642051234
BE,54.11403990347776,38.402032704899725
CZ,10.221363091832638,1.5632311313221041
DE,25.77412323973671,5.777569499912828
DK,32.83756900322147,6.811190547016145
ES,40.501187003555316,9.777678404799632
IT,63.57339434133801,24.43866718424957
PL,37.38115463161815,5.588142870956054
SE,24.773377895399385,3.887492409372192
UK,52.255770176933815,5.3689714105806425
CH,15.49230172101581,1.5049660638956017
NO,7.846372144297995,0.8174196580480202
NL,43.90790862703523,10.146725439561678
