zone,mc_el_mean_mean,mc_el_mean_std
FR,175.11822744928435,89.00419353021695
AT,45.67469283250553,14.325637629075782
BE,55.0977934398287,33.32553612689869
CZ,12.409574609481945,17.08165905291581
DE,40.950726476722274,15.118970430016947
DK,42.59061871747521,13.19792452973516
ES,31.493641959014976,9.83764492654584
IT,66.70241143834352,23.751707585316247
NO,46.183428720628314,6.930716653219536
PL,306.31924018111323,60.605166580653844
SE,36.940932428506514,14.444311808002313
UK,47.43933237707578,14.09462246798876
CH,16.308342737175636,1.8176855345440304
NL,43.81906498087347,8.121829915860834
