zone,mc_el_mean_mean,mc_el_mean_std
FR,149.2627190712605,77.47407037330511
AT,33.33982274929056,7.948622664067675
BE,48.83358397225404,31.762315267420902
CZ,10.365483282778884,1.677094619022167
DE,24.867792151183803,6.348025965711407
DK,32.50625933654115,7.077496270736176
ES,39.42637058229847,10.297055553906352
IT,64.75718254785998,25.26736361515885
PL,37.3603606848996,5.6562756931388485
SE,24.388966136745676,3.1848366344284353
UK,52.31115129985276,5.255871067263358
CH,15.66532914563023,1.5687249542353208
NO,7.827252792876788,0.7732623691535656
NL,43.72133519693836,10.365872679233696
