zone,mc_el_mean_mean,mc_el_mean_std
FR,24.902038325636763,8.383386837505022
AT,35.74134519655746,8.299452788328962
BE,24.61115024564793,9.37428806913717
CH,15.99725556382872,1.4029644804288761
CZ,11.944801731270479,3.5149796202401435
DE,25.592707597474988,6.00100806467849
DK,33.99531309560574,7.756987079393875
ES,36.293167067664015,9.908829838605437
IT,62.94397694793677,26.52722630865905
PL,39.79434097427695,8.573607264640982
SE,23.871801708858783,3.4001933854092283
UK,44.189379661581455,5.733413384693223
NO,7.822958931075648,0.7029328120036055
NL,46.673250221024254,11.866413091614612
