zone,mc_el_mean_mean,mc_el_mean_std
FR,143.26695889325387,77.9855139010052
AT,35.65147227641405,8.774342117886972
BE,46.2962583302311,27.743213951181847
CZ,10.283519450873856,1.5202082102821655
DE,23.140038015829482,5.441961944073005
DK,33.87738205118214,6.624473682272109
ES,38.83226665469553,11.182408076593335
IT,65.13329844340838,24.29167647147097
NO,31.770351164832373,18.635962008583583
PL,50.01684771427103,35.49795490966844
SE,35.85566664476751,4.900708635709336
UK,52.25193071735222,5.429655022224582
CH,16.13547872924285,1.8777705546245471
NL,48.838933385787584,10.525968732157283
