zone,mc_el_maximum_mean,mc_el_maximum_std
FR,25.222999937474928,16.377433601296644
AT,22.797846889997054,2.9453729428320483e-12
BE,22.531185471853796,16.17266456181749
CH,23.73001567410947,1.250816976642628
CZ,18.475739756504918,0.6106161253959873
DE,53.251841484061934,13.02680173392147
DK,22.919199316496815,3.2907244948045276
ES,65.38748186905727,20.197859370937817
IT,83.57649062569499,15.668930560369478
PL,68.12225879913801,4.118952715438184
SE,18.475869534889952,0.23298343793206805
UK,90.80611500493268,20.111695122963397
NO,8.303338201131115,1.4563544707397795
NL,55.86152517974115,29.495909777095513
