zone,mc_el_mean_mean,mc_el_mean_std
FR,15.202073338496678,1.8317375151164632
AT,17.489198468021147,3.1652711736226093
BE,13.708214178221198,1.6400765089500233
CH,15.979563223813807,1.1936631969904008
CZ,12.384449640799852,1.7169014326352012
DE,16.604739921202576,4.2325831415769795
DK,16.94471166211652,1.9599404129585936
ES,23.38662508124405,6.652183112898941
IT,54.39801209498847,29.549743078816846
PL,35.867470946551904,6.147223621586724
SE,11.7438964042852,0.650135031929871
UK,35.264500975351126,6.741060560933959
NO,7.864691423680705,0.8234570223901518
NL,21.38678726791613,14.879007983279221
