zone,mc_el_mean_mean,mc_el_mean_std
FR,15.360267935711677,2.0945262483231564
AT,17.17471785213312,2.9471444103671396
BE,13.687557615282207,1.7638594213969045
CH,15.939929937861491,1.1680279707463532
CZ,12.393811449578195,1.7100288827378878
DE,16.922763088039744,4.319615597016268
DK,16.73694345166116,2.1683806426048604
ES,23.762194609741524,6.700536340305403
IT,54.13099590043284,28.864445391028024
PL,35.80120019979797,6.288854749099596
SE,11.745244086147629,0.648829750444381
UK,35.20216838020726,7.318843215589172
NO,7.897690566558594,0.8865801878607208
NL,21.819627462656925,15.015882172379555
