zone,mc_el_maximum_mean,mc_el_maximum_std
FR,730.4188656468082,405.7432025924547
AT,65.85753231862734,20.33513928641558
BE,188.95434103001486,248.63418279050606
CZ,11.781037970691969,1.2157925305979358
DE,67.49714904913878,16.67929204727185
DK,66.65495740337445,18.414404787403665
ES,84.57805521088976,18.661249135829685
IT,82.56914864458848,17.80447955305088
PL,66.34938573623177,6.603234671713142
SE,70.55574806090036,15.968632021805508
UK,108.03459280173973,5.020458156999302
CH,23.956537952742533,0.690237835012334
NO,8.096989182955074,1.3014281794356497
NL,75.11465078893593,14.49624429892933
