from,to,constrained_maximum_mean
AT,CH,0.21141552511415526
AT,CZ,0.2888127853881279
AT,DE,0.002625570776255708
AT,IT,0.9912100456621005
BE,DE,0.3093607305936073
BE,FR,0.7595890410958904
BE,NL,0.23036529680365297
BE,UK,0.992579908675799
CH,DE,0.20171232876712328
CH,FR,0.7340182648401826
CH,IT,0.9849315068493151
CZ,DE,0.0043378995433789955
CZ,PL,0.7985159817351598
DE,DK,0.2708904109589041
DE,FR,0.7208904109589042
DE,NL,0.5066210045662101
DE,NO,0.7174657534246576
DE,PL,0.8823059360730594
DE,SE,0.8584474885844748
DK,NL,0.7530821917808219
DK,NO,0.6036529680365297
DK,SE,0.37773972602739725
ES,FR,0.8273972602739726
FR,IT,0.9962328767123287
FR,UK,0.9981735159817352
NL,NO,0.8730593607305936
NL,UK,0.9789954337899544
NO,SE,0.20810502283105023
PL,SE,0.8415525114155251
