zone,mc_el_maximum_mean,mc_el_maximum_std
FR,706.2887823790841,412.1283003393451
AT,63.95313426063447,21.762682637237837
BE,185.73332410683014,242.83465472823497
CZ,14.062423754207533,4.067070350064525
DE,63.52310201449308,18.399090746992183
DK,65.12143864100125,19.808388723420023
ES,81.21318188335341,18.584009055581447
IT,80.75242429424819,20.459976624854566
PL,66.34964837104498,6.602703718767498
SE,95.10291861500602,41.35673059269218
UK,107.91467742096911,4.894364726890344
CH,23.981686084253447,0.4485707434143235
NO,8.094292654175936,1.3188486586513593
NL,77.32159577679712,12.608342565362953
