zone,mc_el_maximum_mean,mc_el_maximum_std
FR,712.8577598655454,410.1090418685019
AT,67.53056715340063,18.834361368303977
BE,187.56602969201467,244.7818104786916
CZ,26.34154252713636,107.32022521239367
DE,70.64536737656938,20.868268085844797
DK,69.30694282979974,20.813219167499742
ES,80.23350624378061,26.416904018971703
IT,82.54624016475478,17.399039974639912
PL,135.516332765938,226.95571672796956
SE,110.61395510426178,52.50426937068284
UK,107.95959503192121,4.76071806433701
CH,23.984298624841855,0.41539457867585955
NO,8.091913072262644,1.3167859191717384
NL,80.67830627853581,12.28451565573659
