from,to,constrained_maximum_mean
AT,CH,0.2954337899543379
AT,CZ,0.13470319634703196
AT,DE,0.011529680365296804
AT,IT,0.9464611872146119
BE,DE,0.5549086757990868
BE,FR,0.6470319634703197
BE,NL,0.5727168949771689
BE,UK,0.9958904109589041
CH,DE,0.3208904109589041
CH,FR,0.7105022831050228
CH,IT,0.8722602739726028
CZ,DE,0.07819634703196347
CZ,PL,0.958904109589041
DE,DK,0.6325342465753425
DE,FR,0.818607305936073
DE,NL,0.7184931506849315
DE,NO,0.9659817351598173
DE,PL,0.9481735159817352
DE,SE,0.9678082191780822
DK,NL,0.916324200913242
DK,NO,0.673972602739726
DK,SE,0.5316210045662101
ES,FR,0.8301369863013699
FR,IT,0.8877853881278539
FR,UK,0.9996575342465753
NL,NO,0.905365296803653
NL,UK,0.9743150684931506
NO,SE,0.179337899543379
PL,SE,0.9976027397260274
