zone,mc_el_mean_mean,mc_el_mean_std
FR,27.260530427957313,4.706315731193984
AT,33.51241056414666,9.574116864579906
BE,14.108426519728663,0.656618746685118
CH,16.593590463503997,1.3468712175630553
CZ,12.416504969794998,0.45766540139284295
DE,25.716298760539388,3.515152633427417
DK,34.862333777999964,5.183699337467106
ES,34.34164435417596,7.486940141574159
IT,79.78570466931814,16.796842041543492
PL,42.49134382480302,5.070076224531367
SE,23.759085843939996,1.790929082521532
UK,28.447440490212,6.557020386980153
NO,7.748411631190004,0.6060190782371953
NL,38.04281479349997,2.8710262101646174e-14
