zone,mc_el_maximum_mean,mc_el_maximum_std
FR,31.925662682967953,22.338552084578186
AT,22.797846889997054,2.9453738036854214e-12
BE,20.388654140006807,11.922815019318667
CH,23.683633751456476,1.3485726683264194
CZ,18.325694540339178,0.4100535292437957
DE,53.42939313393218,12.461537466424753
DK,22.717775330016128,1.3008683908290515
ES,64.72961441726434,20.336557471668392
IT,78.7010697487849,23.781924218071968
PL,67.94041521300326,4.394674133142941
SE,18.44025901000419,4.1924414424170426e-12
UK,87.3673587244907,25.181375352365322
NO,8.093276372311372,1.2981697332282793
NL,50.61292956946286,30.65794353270662
