zone,mc_el_maximum_mean,mc_el_maximum_std
FR,18.914721248556706,5.360334515461705
AT,22.797846889997246,2.75356600291498e-12
BE,18.77555381502633,5.13908375242553
CH,22.42722095123104,2.8962379519546677
CZ,17.696855750632338,3.3283706752380415
DE,33.744993791833146,17.425458247425063
DK,19.500267708499262,4.944330302992761
ES,50.61633609898064,20.501930127029745
IT,72.42519612410783,28.78806775811521
PL,64.78439024098047,8.20867620527738
SE,18.412879891491475,0.5045762116428176
UK,87.79552163448407,15.333466930981125
NO,8.119373243587779,1.3206747274292532
NL,48.56714787489945,29.989740779110196
