zone,mc_el_maximum_mean,mc_el_maximum_std
FR,54.27545764851057,26.421228312111595
AT,61.29211757617911,23.35466701636675
BE,57.11100389119662,34.02064954212096
CH,23.144822828040503,2.3368796782056847
CZ,17.88730146337959,3.144451571174153
DE,67.17398130804044,18.586256436202657
DK,65.41421688888313,19.833095249494693
ES,77.60215763776911,22.798635697464835
IT,75.67098644228747,26.07387913818151
PL,69.70646520503936,8.314673671325648
SE,69.11892296846713,10.890321293923083
UK,104.71867709799002,10.296946522636429
NO,8.232103464614783,1.7849032264601599
NL,74.01450236246629,19.666949543884463
