zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,517.0420883518854,9006.0,-1610.238633241236,0.05955333890254381,0.17879620622265555
BE,8040.0,2209.0647431864604,7440.0,-2530.5122506207113,0.27475929641622643,0.34012261433074076
CH,10752.0,1795.9077188084766,13608.0,-4103.489891483145,0.16703010777608598,0.3015498156586673
CZ,3840.0,846.6041403290151,4200.0,-856.4148212150906,0.220469828210681,0.20390829076549777
DE,31236.0,3969.475271577038,26118.0,-10497.2960539618,0.12708014059345107,0.40191806623638104
DK,8184.0,1707.8578895774224,9054.0,-2991.5560218887013,0.20868253782715326,0.3304126377168877
ES,3360.0,1000.2271996013129,3120.0,-1844.4120921176914,0.2976866665480098,0.5911577218325934
FR,14772.0,7674.151234846375,20940.0,-4820.975140493242,0.5195065823751946,0.23022803918305837
IT,10854.0,3373.4154655329166,5346.0,-1487.577970013602,0.31079928740859747,0.27826000187310174
NL,10860.0,4612.839389314816,9660.0,-2277.2343671072667,0.42475500822420037,0.23573854731959282
NO,9282.0,2040.750075082662,8922.0,-3379.449864992823,0.21986102942067035,0.37877716487254237
PL,2040.0,1522.1523460770243,4680.0,-198.0179392953518,0.7461531108220707,0.042311525490459787
SE,8820.0,2925.5801257691546,8628.0,-1563.7007773972055,0.33169842695795404,0.18123560238725145
UK,4800.0,4180.058790347538,4800.0,-214.25065457422946,0.8708455813224038,0.044635553036297806
