zone,mc_el_maximum_mean,mc_el_maximum_std
FR,99.30156919055254,166.3019255838171
AT,69.07231264266295,17.19327803115896
BE,71.37246285354135,36.048623355809504
CH,23.086545945694056,2.4714710420520416
CZ,17.318582244928987,3.007984568813821
DE,69.00751845708194,19.18750660491595
DK,67.18877389143162,19.991403025905488
ES,80.15310151659043,23.81367229108154
IT,81.18576892244599,20.273546598336935
PL,364.2031484235601,429.94818185574235
SE,66.24936070937152,14.368569854602306
UK,104.71442594146029,11.114347593587608
NO,8.128368344875039,1.3282250367272004
NL,76.64833496597598,18.817706867756986
