from,to,constrained_maximum_mean
AT,CH,0.920662100456621
AT,CZ,0.3184931506849315
AT,DE,0.06552511415525114
AT,IT,0.9481735159817352
BE,DE,0.9738584474885845
BE,FR,0.5190639269406393
BE,NL,0.8666666666666667
BE,UK,0.8530821917808219
CH,DE,0.8997716894977169
CH,FR,0.9319634703196347
CH,IT,0.7073059360730594
CZ,DE,0.3468036529680365
CZ,PL,0.9759132420091324
DE,DK,0.26015981735159815
DE,FR,0.9574200913242009
DE,NL,0.864041095890411
DE,NO,0.8734018264840183
DE,PL,0.9763698630136987
DE,SE,0.9900684931506849
DK,NL,0.7546803652968036
DK,NO,0.39531963470319637
DK,SE,0.9367579908675799
ES,FR,0.9578767123287671
FR,IT,0.9243150684931507
FR,UK,0.977054794520548
NL,NO,0.7198630136986301
NL,UK,0.9988584474885844
NO,SE,0.8230593607305936
PL,SE,0.9924657534246575
